,cnt,t_real,t_feels_like,humidity,wind_speed,is_weekend,season
0,182,3.0,2.0,93.0,6.0,1,3
1,138,3.0,2.5,93.0,5.0,1,3
2,134,2.5,2.5,96.5,0.0,1,3
3,72,2.0,2.0,100.0,0.0,1,3
4,47,2.0,0.0,93.0,6.5,1,3
5,46,2.0,2.0,93.0,4.0,1,3
6,51,1.0,-1.0,100.0,7.0,1,3
7,75,1.0,-1.0,100.0,7.0,1,3
8,131,1.5,-1.0,96.5,8.0,1,3
9,301,2.0,-0.5,100.0,9.0,1,3
10,528,3.0,-0.5,93.0,12.0,1,3
11,727,2.0,-1.5,100.0,12.0,1,3
12,862,2.0,-1.5,96.5,13.0,1,3
13,916,3.0,-0.5,72.0,15.0,1,3
14,1039,2.5,0.0,90.0,8.0,1,3
15,869,2.0,-1.5,93.0,11.0,1,3
16,737,3.0,0.0,93.0,12.0,1,3
17,594,3.0,0.0,72.0,11.0,1,3
18,522,3.0,1.5,93.0,6.5,1,3
19,379,3.0,1.0,93.0,7.0,1,3
20,328,3.0,3.0,93.0,4.0,1,3
21,221,3.0,2.5,93.0,5.0,1,3
22,178,3.0,2.0,93.0,6.0,1,3
23,157,4.0,3.5,87.0,5.0,1,3
24,83,4.0,3.0,93.0,6.0,0,3
25,67,4.0,3.5,93.0,5.0,0,3
26,32,5.0,4.0,72.0,6.0,0,3
27,22,6.0,4.5,84.0,7.5,0,3
28,38,6.5,5.0,84.0,8.0,0,3
29,81,6.0,5.5,87.0,5.0,0,3
30,444,7.0,6.5,81.0,5.0,0,3
31,1597,7.0,6.0,81.0,6.5,0,3
32,3161,8.0,7.5,79.0,5.0,0,3
33,1342,8.0,7.0,82.0,6.0,0,3
34,568,9.0,8.0,84.5,6.5,0,3
35,584,9.0,7.5,90.5,10.0,0,3
36,762,10.0,8.0,85.0,11.0,0,3
37,873,10.0,8.5,82.0,10.0,0,3
38,672,10.0,9.0,82.0,9.0,0,3
39,807,10.0,8.5,79.0,10.0,0,3
40,1192,10.0,8.5,72.0,13.0,0,3
41,2761,9.5,7.5,73.5,12.0,0,3
42,2389,9.5,7.5,69.0,14.0,0,3
43,1274,9.0,6.5,71.0,14.0,0,3
44,696,9.0,7.0,71.0,14.0,0,3
45,411,9.0,7.0,71.0,11.0,0,3
46,324,9.0,7.5,71.0,10.0,0,3
47,192,8.5,7.5,73.5,8.0,0,3
48,91,8.0,6.5,76.0,8.0,0,3
49,73,8.0,6.5,76.0,8.0,0,3
50,33,8.0,6.0,76.0,11.0,0,3
51,19,8.0,5.5,76.0,14.0,0,3
52,40,8.5,6.5,73.5,11.0,0,3
53,74,8.0,5.5,82.0,14.0,0,3
54,530,8.0,5.0,84.5,15.0,0,3
55,1715,9.0,7.0,82.0,13.0,0,3
56,3534,9.0,7.0,82.0,12.0,0,3
57,1573,9.0,6.5,87.0,16.0,0,3
58,635,10.0,7.5,88.0,19.5,0,3
59,550,10.0,8.0,88.0,18.0,0,3
60,395,11.0,11.0,85.0,19.0,0,3
61,426,9.5,6.0,84.5,27.5,0,3
62,579,9.0,6.0,72.0,26.0,0,3
63,718,8.0,4.5,71.0,23.0,0,3
64,1184,8.0,5.0,68.5,19.5,0,3
65,2662,7.5,4.0,71.0,22.0,0,3
66,2610,7.0,4.0,71.0,17.5,0,3
67,1402,6.0,3.0,76.0,15.0,0,3
68,720,5.5,2.5,78.5,15.0,0,3
69,494,5.0,2.0,81.0,15.0,0,3
70,344,4.5,1.5,81.0,13.0,0,3
71,212,4.0,1.0,84.0,12.0,0,3
72,102,4.0,1.0,72.0,12.0,0,3
73,60,4.0,1.0,72.0,11.0,0,3
74,33,4.0,1.5,72.0,10.0,0,3
75,26,3.5,1.0,84.0,9.0,0,3
76,33,4.0,1.5,72.0,10.0,0,3
78,526,5.0,2.5,81.0,10.0,0,3
79,1757,5.5,2.5,81.0,13.0,0,3
80,3618,6.5,3.5,81.0,15.0,0,3
81,1714,8.0,5.0,76.0,19.0,0,3
82,763,8.0,5.0,82.0,19.5,0,3
83,690,9.0,6.0,76.0,21.0,0,3
84,913,9.0,5.5,76.0,27.0,0,3
85,982,9.5,6.0,71.5,28.0,0,3
86,783,10.0,6.5,62.0,28.5,0,3
87,794,9.0,6.0,68.5,25.0,0,3
88,1171,9.0,6.0,76.0,25.0,0,3
89,2647,9.5,6.5,71.5,24.0,0,3
90,2579,10.0,7.0,71.0,30.0,0,3
91,657,10.0,6.5,79.0,30.5,0,3
92,516,10.0,7.0,72.0,27.0,0,3
93,414,10.0,7.0,82.0,27.0,0,3
94,206,10.0,7.0,85.0,24.0,0,3
95,123,11.0,11.0,82.0,26.0,0,3
96,56,11.5,11.5,72.0,24.0,0,3
97,51,12.0,12.0,82.0,25.0,0,3
98,33,12.0,12.0,85.0,22.0,0,3
99,32,12.0,12.0,88.0,20.5,0,3
100,87,12.0,12.0,80.0,20.5,0,3
101,511,11.5,11.5,72.0,17.0,0,3
102,982,10.5,9.5,82.5,17.0,0,3
103,1228,9.5,7.5,87.5,14.0,0,3
104,573,9.0,7.0,87.0,13.0,0,3
105,185,9.0,7.0,87.0,14.0,0,3
106,193,9.0,6.0,72.0,20.5,0,3
107,522,9.0,6.5,84.5,17.0,0,3
108,672,9.0,5.5,72.0,27.0,0,3
109,761,10.0,7.0,71.0,22.0,0,3
110,781,9.0,6.0,71.0,22.0,0,3
111,1212,9.0,6.0,72.0,19.5,0,3
112,2351,9.0,6.0,76.0,22.0,0,3
113,2110,8.5,5.5,73.5,22.5,0,3
114,1239,8.0,5.0,72.0,20.5,0,3
115,752,8.0,5.0,76.0,17.0,0,3
116,457,8.0,4.5,76.0,20.5,0,3
117,423,8.5,5.5,73.5,21.0,0,3
118,267,9.0,5.5,76.0,27.0,0,3
119,147,10.0,7.0,71.0,28.0,0,3
120,60,10.0,7.0,72.0,30.0,0,3
121,65,10.0,6.5,79.0,29.5,0,3
122,42,11.0,11.0,79.5,29.0,0,3
123,47,11.0,11.0,85.0,33.0,0,3
124,85,11.5,11.5,85.0,33.0,0,3
125,441,12.0,12.0,82.0,32.5,0,3
126,1593,12.0,12.0,82.0,31.5,0,3
127,3505,12.0,12.0,79.5,25.0,0,3
128,1768,12.0,12.0,74.5,30.0,0,3
129,799,12.5,12.5,69.5,29.5,0,3
130,806,13.0,13.0,67.0,28.0,0,3
131,1052,13.0,13.0,67.0,26.0,0,3
132,1078,13.0,13.0,63.0,30.0,0,3
133,976,13.0,13.0,63.0,26.0,0,3
134,912,13.5,13.5,67.5,33.5,0,3
135,1229,13.0,13.0,79.5,37.0,0,3
136,2409,13.5,13.5,85.0,35.0,0,3
137,1983,15.0,15.0,72.0,36.0,0,3
138,1094,15.5,15.5,77.0,41.0,0,3
139,686,15.0,15.0,72.0,44.0,0,3
140,443,15.0,15.0,68.0,41.0,0,3
141,464,15.0,15.0,68.0,40.0,0,3
142,420,14.0,14.0,77.0,41.5,0,3
143,392,14.0,14.0,72.0,39.0,1,3
144,277,14.0,14.0,77.0,40.0,1,3
145,189,14.0,14.0,72.0,40.5,1,3
146,153,13.0,13.0,77.0,41.0,1,3
147,90,13.0,13.0,77.0,36.0,1,3
148,52,13.0,13.0,77.0,35.0,1,3
149,69,13.0,13.0,82.0,35.0,1,3
150,143,13.0,13.0,79.5,35.0,1,3
151,321,14.0,14.0,74.5,40.0,1,3
152,619,14.0,14.0,77.0,48.0,1,3
153,757,14.0,14.0,72.0,41.0,1,3
154,800,11.5,11.5,67.5,42.5,1,3
155,1191,11.5,11.5,58.0,41.5,1,3
156,1395,10.5,8.5,54.0,38.0,1,3
157,1358,9.0,4.5,54.0,42.5,1,3
158,1436,9.0,5.0,48.0,35.0,1,3
159,1270,8.0,4.0,72.0,27.0,1,3
160,1054,8.0,4.0,51.5,29.0,1,3
161,849,7.0,3.0,55.0,26.0,1,3
162,720,6.0,2.0,57.0,26.0,1,3
163,556,6.0,2.0,57.0,25.0,1,3
164,349,6.0,2.0,57.0,21.0,1,3
165,335,5.0,1.0,66.0,20.0,1,3
166,334,5.0,1.0,66.0,19.5,1,3
167,360,4.5,0.5,72.5,22.0,1,3
168,255,4.0,-0.5,72.0,22.0,1,3
169,198,4.0,-0.5,75.0,23.0,1,3
170,135,4.0,-1.0,75.0,27.0,1,3
171,74,4.0,-1.0,72.5,28.0,1,3
172,57,4.0,-1.0,70.0,27.0,1,3
173,67,4.5,0.0,68.0,24.0,1,3
174,93,5.0,1.0,66.0,24.0,1,3
175,241,5.0,0.0,72.0,29.5,1,3
176,538,5.5,0.5,72.0,29.0,1,3
177,922,6.5,2.0,61.0,30.0,1,3
178,1248,7.5,3.5,59.0,27.0,1,3
179,1555,8.5,4.5,55.5,27.0,1,3
180,1813,9.0,5.0,56.0,28.0,1,3
181,1639,9.0,5.0,60.0,28.0,1,3
182,1464,8.5,5.0,64.0,26.0,1,3
183,1097,8.0,4.5,72.0,23.0,1,3
184,827,8.0,5.0,71.0,20.5,1,3
185,519,8.0,4.0,73.5,25.0,1,3
186,493,8.0,4.0,73.5,24.0,1,3
187,315,8.0,4.5,71.0,26.0,1,3
188,260,8.0,4.0,71.0,30.0,1,3
189,237,9.0,5.0,66.0,37.0,1,3
190,168,9.0,5.0,71.0,30.5,1,3
191,117,9.0,5.0,72.0,29.0,0,3
192,45,10.0,6.0,60.0,34.0,0,3
193,29,10.0,7.0,64.5,30.0,0,3
194,36,10.0,6.5,67.0,30.5,0,3
195,26,10.0,6.5,67.0,33.5,0,3
196,86,10.0,6.0,67.0,35.0,0,3
197,433,10.0,6.0,73.5,31.0,0,3
198,1541,10.0,7.0,76.0,30.0,0,3
199,3418,10.0,6.0,76.0,31.0,0,3
200,1832,11.5,11.5,67.0,32.5,0,3
